break_value,accel_value,speed,timestamp
154.0,0.0,3.0,2024-04-12 07:43:00.240408+00:00
646.0,0.0,3.0,2024-04-12 07:43:01.369258+00:00
586.0,0.0,2.0,2024-04-12 07:43:02.392305+00:00
145.0,0.0,2.0,2024-04-12 07:43:03.415651+00:00
678.0,0.0,2.0,2024-04-12 07:43:04.439950+00:00
656.0,0.0,1.0,2024-04-12 07:43:05.258913+00:00
181.0,0.0,1.0,2024-04-12 07:43:06.288336+00:00
769.0,0.0,1.0,2024-04-12 07:43:07.308903+00:00
623.0,0.0,1.0,2024-04-12 07:43:08.434949+00:00
157.0,0.0,0.0,2024-04-12 07:43:09.352185+00:00
708.0,0.0,0.0,2024-04-12 07:43:10.382717+00:00
684.0,0.0,0.0,2024-04-12 07:43:11.302379+00:00
289.0,0.0,0.0,2024-04-12 07:43:12.323793+00:00
647.0,0.0,0.0,2024-04-12 07:43:13.353580+00:00
673.0,0.0,0.0,2024-04-12 07:43:14.373427+00:00
116.0,0.0,0.0,2024-04-12 07:43:15.393828+00:00
570.0,0.0,0.0,2024-04-12 07:43:16.415088+00:00
727.0,0.0,0.0,2024-04-12 07:43:17.238054+00:00
144.0,0.0,0.0,2024-04-12 07:43:18.371814+00:00
773.0,0.0,0.0,2024-04-12 07:43:19.293486+00:00
569.0,0.0,0.0,2024-04-12 07:43:20.320085+00:00
218.0,0.0,0.0,2024-04-12 07:43:21.337685+00:00
715.0,0.0,0.0,2024-04-12 07:43:22.355040+00:00
677.0,0.0,0.0,2024-04-12 07:43:23.389693+00:00
319.0,0.0,0.0,2024-04-12 07:43:24.238913+00:00
719.0,0.0,0.0,2024-04-12 07:43:25.241190+00:00
787.0,0.0,0.0,2024-04-12 07:43:26.396036+00:00
131.0,0.0,0.0,2024-04-12 07:43:27.378082+00:00
716.0,0.0,0.0,2024-04-12 07:43:28.369653+00:00
727.0,0.0,0.0,2024-04-12 07:43:29.423979+00:00
315.0,0.0,0.0,2024-04-12 07:43:30.461874+00:00
805.0,0.0,0.0,2024-04-12 07:43:31.269445+00:00
818.0,0.0,0.0,2024-04-12 07:43:32.293270+00:00
818.0,0.0,0.0,2024-04-12 07:43:33.308464+00:00
844.0,0.0,0.0,2024-04-12 07:43:34.343072+00:00
844.0,0.0,0.0,2024-04-12 07:43:35.261607+00:00
823.0,0.0,0.0,2024-04-12 07:43:36.290035+00:00
290.0,0.0,0.0,2024-04-12 07:43:37.310759+00:00
774.0,0.0,0.0,2024-04-12 07:43:38.334427+00:00
622.0,0.0,0.0,2024-04-12 07:43:39.361207+00:00
288.0,0.0,0.0,2024-04-12 07:43:40.382580+00:00
642.0,0.0,0.0,2024-04-12 07:43:41.401567+00:00
654.0,0.0,0.0,2024-04-12 07:43:42.236219+00:00
352.0,0.0,0.0,2024-04-12 07:43:43.361282+00:00
651.0,0.0,0.0,2024-04-12 07:43:44.231108+00:00
790.0,0.0,0.0,2024-04-12 07:43:45.299841+00:00
294.0,0.0,0.0,2024-04-12 07:43:46.430502+00:00
643.0,0.0,0.0,2024-04-12 07:43:47.450936+00:00
656.0,0.0,0.0,2024-04-12 07:43:48.271434+00:00
397.0,0.0,0.0,2024-04-12 07:43:49.289807+00:00
787.0,0.0,0.0,2024-04-12 07:43:50.336305+00:00
608.0,0.0,0.0,2024-04-12 07:43:51.340580+00:00
464.0,0.0,0.0,2024-04-12 07:43:52.316688+00:00
699.0,0.0,0.0,2024-04-12 07:43:53.394642+00:00
679.0,0.0,0.0,2024-04-12 07:43:54.418666+00:00
368.0,0.0,0.0,2024-04-12 07:43:55.442048+00:00
234.0,0.0,0.0,2024-04-12 07:43:56.252285+00:00
251.0,0.0,0.0,2024-04-12 07:43:57.280059+00:00
0.0,112.0,0.0,2024-04-12 07:43:58.303728+00:00
240.0,87.0,0.0,2024-04-12 07:43:59.323293+00:00
265.0,0.0,0.0,2024-04-12 07:44:00.351214+00:00
0.0,141.0,2.0,2024-04-12 07:44:01.276351+00:00
200.0,138.0,8.0,2024-04-12 07:44:02.401837+00:00
172.0,0.0,18.0,2024-04-12 07:44:03.423523+00:00
0.0,115.0,18.0,2024-04-12 07:44:04.232269+00:00
99.0,147.0,24.0,2024-04-12 07:44:05.228392+00:00
155.0,0.0,29.0,2024-04-12 07:44:06.285435+00:00
0.0,131.0,29.0,2024-04-12 07:44:07.229453+00:00
115.0,135.0,33.0,2024-04-12 07:44:08.445062+00:00
73.0,0.0,37.0,2024-04-12 07:44:09.364164+00:00
0.0,130.0,37.0,2024-04-12 07:44:10.386588+00:00
173.0,87.0,41.0,2024-04-12 07:44:11.408632+00:00
125.0,0.0,44.0,2024-04-12 07:44:12.437106+00:00
0.0,31.0,44.0,2024-04-12 07:44:13.253133+00:00
139.0,102.0,47.0,2024-04-12 07:44:14.282613+00:00
128.0,0.0,50.0,2024-04-12 07:44:15.294758+00:00
