accel_value,speed,timestamp
0,7,2024-04-12 07:29:25.062319+00:00
0,7,2024-04-12 07:29:26.092244+00:00
0,5,2024-04-12 07:29:27.002219+00:00
0,4,2024-04-12 07:29:27.974253+00:00
0,4,2024-04-12 07:29:29.156926+00:00
0,3,2024-04-12 07:29:30.124526+00:00
0,2,2024-04-12 07:29:31.102611+00:00
0,2,2024-04-12 07:29:32.127967+00:00
0,2,2024-04-12 07:29:33.043535+00:00
0,2,2024-04-12 07:29:34.070926+00:00
136,2,2024-04-12 07:29:35.099142+00:00
0,2,2024-04-12 07:29:36.009439+00:00
115,2,2024-04-12 07:29:37.141095+00:00
144,2,2024-04-12 07:29:37.972255+00:00
144,2,2024-04-12 07:29:39.137541+00:00
0,4,2024-04-12 07:29:40.172097+00:00
156,4,2024-04-12 07:29:41.137141+00:00
140,8,2024-04-12 07:29:42.165068+00:00
156,14,2024-04-12 07:29:43.184003+00:00
117,14,2024-04-12 07:29:44.000653+00:00
0,18,2024-04-12 07:29:45.027641+00:00
0,20,2024-04-12 07:29:46.048383+00:00
0,20,2024-04-12 07:29:47.077212+00:00
0,20,2024-04-12 07:29:47.977453+00:00
0,17,2024-04-12 07:29:49.162143+00:00
0,17,2024-04-12 07:29:50.243469+00:00
0,12,2024-04-12 07:29:51.069647+00:00
0,7,2024-04-12 07:29:51.988418+00:00
153,7,2024-04-12 07:29:53.029030+00:00
144,6,2024-04-12 07:29:54.042274+00:00
0,5,2024-04-12 07:29:55.060065+00:00
0,5,2024-04-12 07:29:56.084833+00:00
0,4,2024-04-12 07:29:57.111477+00:00
0,4,2024-04-12 07:29:58.139384+00:00
0,4,2024-04-12 07:29:58.978331+00:00
0,4,2024-04-12 07:29:59.972565+00:00
0,5,2024-04-12 07:30:00.974056+00:00
0,5,2024-04-12 07:30:01.980845+00:00
0,3,2024-04-12 07:30:03.053642+00:00
0,2,2024-04-12 07:30:04.084692+00:00
0,2,2024-04-12 07:30:05.098899+00:00
0,2,2024-04-12 07:30:06.042324+00:00
0,1,2024-04-12 07:30:07.046482+00:00
0,1,2024-04-12 07:30:08.066683+00:00
0,1,2024-04-12 07:30:08.982381+00:00
