break_value,speed,timestamp
694,0,2024-04-12 07:45:57.291284+00:00
957,0,2024-04-12 07:45:58.514506+00:00
811,0,2024-04-12 07:45:59.337090+00:00
745,0,2024-04-12 07:46:00.260775+00:00
812,0,2024-04-12 07:46:01.287937+00:00
755,0,2024-04-12 07:46:02.310728+00:00
738,0,2024-04-12 07:46:03.436903+00:00
705,0,2024-04-12 07:46:04.231932+00:00
725,0,2024-04-12 07:46:05.276550+00:00
713,0,2024-04-12 07:46:06.297683+00:00
643,0,2024-04-12 07:46:07.429637+00:00
755,0,2024-04-12 07:46:08.248490+00:00
799,0,2024-04-12 07:46:09.271795+00:00
861,0,2024-04-12 07:46:10.230348+00:00
623,0,2024-04-12 07:46:11.428606+00:00
821,0,2024-04-12 07:46:12.242824+00:00
725,0,2024-04-12 07:46:13.266831+00:00
710,0,2024-04-12 07:46:14.304397+00:00
768,0,2024-04-12 07:46:15.313641+00:00
753,0,2024-04-12 07:46:16.341999+00:00
723,0,2024-04-12 07:46:17.365050+00:00
735,0,2024-04-12 07:46:18.391741+00:00
716,0,2024-04-12 07:46:19.414586+00:00
721,0,2024-04-12 07:46:20.437415+00:00
726,0,2024-04-12 07:46:21.256955+00:00
635,0,2024-04-12 07:46:22.270681+00:00
737,0,2024-04-12 07:46:23.406689+00:00
686,0,2024-04-12 07:46:24.430702+00:00
775,0,2024-04-12 07:46:25.233562+00:00
610,0,2024-04-12 07:46:26.273204+00:00
852,0,2024-04-12 07:46:27.296428+00:00
873,0,2024-04-12 07:46:28.346857+00:00
463,0,2024-04-12 07:46:29.321616+00:00
281,0,2024-04-12 07:46:30.232121+00:00
234,0,2024-04-12 07:46:31.227411+00:00
246,0,2024-04-12 07:46:32.414025+00:00
260,1,2024-04-12 07:46:33.437930+00:00
259,5,2024-04-12 07:46:34.259245+00:00
266,5,2024-04-12 07:46:35.281209+00:00
245,6,2024-04-12 07:46:36.314246+00:00
257,8,2024-04-12 07:46:37.334033+00:00
260,8,2024-04-12 07:46:38.257912+00:00
214,12,2024-04-12 07:46:39.482948+00:00
277,17,2024-04-12 07:46:40.405268+00:00
250,17,2024-04-12 07:46:41.528045+00:00
243,24,2024-04-12 07:46:42.241719+00:00
229,30,2024-04-12 07:46:43.262349+00:00
267,30,2024-04-12 07:46:44.225893+00:00
251,35,2024-04-12 07:46:45.312871+00:00
209,39,2024-04-12 07:46:46.337797+00:00
188,39,2024-04-12 07:46:47.263974+00:00
134,43,2024-04-12 07:46:48.392263+00:00
169,45,2024-04-12 07:46:49.411882+00:00
188,45,2024-04-12 07:46:50.428150+00:00
148,48,2024-04-12 07:46:51.253471+00:00
51,50,2024-04-12 07:46:52.274428+00:00
13,50,2024-04-12 07:46:53.306922+00:00
277,51,2024-04-12 07:46:54.327209+00:00
534,52,2024-04-12 07:46:55.351176+00:00
464,52,2024-04-12 07:46:56.379550+00:00
464,51,2024-04-12 07:46:57.403401+00:00
508,46,2024-04-12 07:46:58.425152+00:00
535,46,2024-04-12 07:46:59.450407+00:00
330,36,2024-04-12 07:47:00.252888+00:00
410,27,2024-04-12 07:47:01.292096+00:00
369,27,2024-04-12 07:47:02.324258+00:00
519,18,2024-04-12 07:47:03.483993+00:00
319,10,2024-04-12 07:47:04.264396+00:00
322,10,2024-04-12 07:47:05.290838+00:00
479,5,2024-04-12 07:47:06.321522+00:00
491,3,2024-04-12 07:47:07.329059+00:00
483,3,2024-04-12 07:47:08.350228+00:00
397,2,2024-04-12 07:47:09.382865+00:00
490,2,2024-04-12 07:47:10.445204+00:00
572,2,2024-04-12 07:47:11.326015+00:00
534,1,2024-04-12 07:47:12.243565+00:00
599,1,2024-04-12 07:47:13.282311+00:00
454,1,2024-04-12 07:47:14.295094+00:00
613,1,2024-04-12 07:47:15.320617+00:00
745,1,2024-04-12 07:47:16.238868+00:00
92,1,2024-04-12 07:47:17.270370+00:00
581,1,2024-04-12 07:47:18.286266+00:00
519,1,2024-04-12 07:47:19.570578+00:00
105,1,2024-04-12 07:47:20.336575+00:00
559,0,2024-04-12 07:47:21.259607+00:00
614,0,2024-04-12 07:47:22.399431+00:00
113,0,2024-04-12 07:47:23.306410+00:00
658,0,2024-04-12 07:47:24.234842+00:00
661,0,2024-04-12 07:47:25.254048+00:00
121,0,2024-04-12 07:47:26.287810+00:00
565,0,2024-04-12 07:47:27.300191+00:00
524,0,2024-04-12 07:47:28.424799+00:00
141,0,2024-04-12 07:47:29.251917+00:00
544,0,2024-04-12 07:47:30.260805+00:00
586,0,2024-04-12 07:47:31.294444+00:00
738,0,2024-04-12 07:47:32.323198+00:00
722,0,2024-04-12 07:47:33.241882+00:00
528,0,2024-04-12 07:47:34.264408+00:00
852,0,2024-04-12 07:47:35.493514+00:00
712,0,2024-04-12 07:47:36.419083+00:00
667,0,2024-04-12 07:47:37.439282+00:00
839,0,2024-04-12 07:47:38.257457+00:00
759,0,2024-04-12 07:47:39.284498+00:00
762,0,2024-04-12 07:47:40.304679+00:00
854,0,2024-04-12 07:47:41.347118+00:00
610,0,2024-04-12 07:47:42.367974+00:00
531,0,2024-04-12 07:47:43.385973+00:00
775,0,2024-04-12 07:47:44.405307+00:00
590,0,2024-04-12 07:47:45.241039+00:00
608,0,2024-04-12 07:47:46.251647+00:00
165,0,2024-04-12 07:47:47.264756+00:00
651,0,2024-04-12 07:47:48.294049+00:00
630,0,2024-04-12 07:47:49.431889+00:00
207,0,2024-04-12 07:47:50.445770+00:00
752,0,2024-04-12 07:47:51.268741+00:00
720,0,2024-04-12 07:47:52.284274+00:00
203,0,2024-04-12 07:47:53.321353+00:00
606,0,2024-04-12 07:47:54.439094+00:00
642,0,2024-04-12 07:47:55.361518+00:00
78,0,2024-04-12 07:47:56.286103+00:00
585,0,2024-04-12 07:47:57.302948+00:00
720,0,2024-04-12 07:47:58.330909+00:00
123,0,2024-04-12 07:47:59.360266+00:00
371,0,2024-04-12 07:48:00.373770+00:00
263,0,2024-04-12 07:48:01.400738+00:00
0,0,2024-04-12 07:48:02.425222+00:00
250,0,2024-04-12 07:48:03.238246+00:00
214,3,2024-04-12 07:48:04.229865+00:00
0,3,2024-04-12 07:48:05.290170+00:00
224,8,2024-04-12 07:48:06.316052+00:00
186,11,2024-04-12 07:48:07.341216+00:00
0,11,2024-04-12 07:48:08.235028+00:00
266,13,2024-04-12 07:48:09.289383+00:00
261,16,2024-04-12 07:48:10.414359+00:00
0,16,2024-04-12 07:48:11.440306+00:00
219,19,2024-04-12 07:48:12.251780+00:00
197,22,2024-04-12 07:48:13.278121+00:00
0,22,2024-04-12 07:48:14.232445+00:00
241,26,2024-04-12 07:48:15.326677+00:00
262,31,2024-04-12 07:48:16.227489+00:00
0,31,2024-04-12 07:48:17.374017+00:00
365,34,2024-04-12 07:48:18.399928+00:00
319,36,2024-04-12 07:48:19.422057+00:00
0,36,2024-04-12 07:48:20.446585+00:00
234,35,2024-04-12 07:48:21.266003+00:00
210,34,2024-04-12 07:48:22.284431+00:00
0,34,2024-04-12 07:48:23.322739+00:00
198,33,2024-04-12 07:48:24.338716+00:00
208,34,2024-04-12 07:48:25.270553+00:00
0,34,2024-04-12 07:48:26.281230+00:00
217,37,2024-04-12 07:48:27.507192+00:00
240,39,2024-04-12 07:48:28.431103+00:00
0,39,2024-04-12 07:48:29.253513+00:00
207,40,2024-04-12 07:48:30.238370+00:00
144,41,2024-04-12 07:48:31.295706+00:00
0,41,2024-04-12 07:48:32.319114+00:00
154,41,2024-04-12 07:48:33.245556+00:00
124,42,2024-04-12 07:48:34.268504+00:00
0,42,2024-04-12 07:48:35.391640+00:00
23,42,2024-04-12 07:48:36.424544+00:00
23,42,2024-04-12 07:48:37.441991+00:00
59,42,2024-04-12 07:48:38.261753+00:00
0,42,2024-04-12 07:48:39.287108+00:00
113,42,2024-04-12 07:48:40.307207+00:00
52,42,2024-04-12 07:48:41.339531+00:00
0,41,2024-04-12 07:48:42.355095+00:00
0,40,2024-04-12 07:48:43.383803+00:00
0,40,2024-04-12 07:48:44.227087+00:00
0,39,2024-04-12 07:48:45.330526+00:00
0,38,2024-04-12 07:48:46.252947+00:00
0,38,2024-04-12 07:48:47.279704+00:00
0,38,2024-04-12 07:48:48.301800+00:00
94,38,2024-04-12 07:48:49.322870+00:00
49,38,2024-04-12 07:48:50.350869+00:00
49,39,2024-04-12 07:48:52.427177+00:00
99,41,2024-04-12 07:48:53.423352+00:00
0,41,2024-04-12 07:48:54.443496+00:00
80,43,2024-04-12 07:48:55.477350+00:00
32,44,2024-04-12 07:48:56.490107+00:00
0,44,2024-04-12 07:48:57.527375+00:00
54,44,2024-04-12 07:48:58.650922+00:00
96,44,2024-04-12 07:48:59.569210+00:00
0,45,2024-04-12 07:49:00.590137+00:00
109,48,2024-04-12 07:49:01.405811+00:00
75,48,2024-04-12 07:49:02.436787+00:00
0,50,2024-04-12 07:49:03.458671+00:00
115,52,2024-04-12 07:49:04.473549+00:00
144,52,2024-04-12 07:49:05.502742+00:00
0,52,2024-04-12 07:49:06.525220+00:00
60,52,2024-04-12 07:49:07.554133+00:00
66,52,2024-04-12 07:49:08.588448+00:00
0,52,2024-04-12 07:49:09.393174+00:00
134,52,2024-04-12 07:49:10.421480+00:00
97,52,2024-04-12 07:49:11.455042+00:00
0,52,2024-04-12 07:49:12.461956+00:00
129,52,2024-04-12 07:49:13.489016+00:00
154,52,2024-04-12 07:49:14.513920+00:00
0,53,2024-04-12 07:49:15.373944+00:00
131,53,2024-04-12 07:49:16.660335+00:00
143,53,2024-04-12 07:49:17.583724+00:00
0,53,2024-04-12 07:49:18.403053+00:00
76,53,2024-04-12 07:49:19.477021+00:00
64,30,2024-04-12 07:49:20.503424+00:00
0,30,2024-04-12 07:49:21.577699+00:00
12,36,2024-04-12 07:49:22.394392+00:00
0,36,2024-04-12 07:49:23.426938+00:00
0,46,2024-04-12 07:49:24.444920+00:00
10,48,2024-04-12 07:49:25.468558+00:00
13,48,2024-04-12 07:49:26.499382+00:00
0,48,2024-04-12 07:49:27.374934+00:00
18,49,2024-04-12 07:49:28.442833+00:00
29,49,2024-04-12 07:49:29.569772+00:00
0,51,2024-04-12 07:49:30.492659+00:00
0,52,2024-04-12 07:49:31.412150+00:00
16,52,2024-04-12 07:49:32.428357+00:00
0,52,2024-04-12 07:49:33.483587+00:00
0,53,2024-04-12 07:49:34.480064+00:00
0,53,2024-04-12 07:49:35.510104+00:00
112,53,2024-04-12 07:49:36.404092+00:00
363,53,2024-04-12 07:49:37.548156+00:00
371,53,2024-04-12 07:49:38.573679+00:00
125,53,2024-04-12 07:49:39.397247+00:00
190,51,2024-04-12 07:49:40.419799+00:00
0,51,2024-04-12 07:49:41.437878+00:00
0,50,2024-04-12 07:49:42.466084+00:00
97,49,2024-04-12 07:49:43.493871+00:00
84,49,2024-04-12 07:49:44.516549+00:00
0,50,2024-04-12 07:49:45.546172+00:00
0,51,2024-04-12 07:49:46.562810+00:00
0,51,2024-04-12 07:49:47.376778+00:00
0,52,2024-04-12 07:49:48.405803+00:00
373,52,2024-04-12 07:49:49.428376+00:00
304,52,2024-04-12 07:49:50.458727+00:00
0,52,2024-04-12 07:49:51.483474+00:00
0,49,2024-04-12 07:49:52.399149+00:00
